x_m,y_m
0.000000000000000000e+00,1.233439030797604807e-01
-3.510737279310061076e-03,1.200672149524044108e-01
-7.021474558620136031e-03,1.193650674965423958e-01
-1.053221183793021098e-02,1.193650674965423958e-01
-1.404294911724027206e-02,1.193650674965423958e-01
-1.755368639655034702e-02,1.193650674965423958e-01
-2.106442367586042197e-02,1.193650674965423958e-01
-2.457516095517048305e-02,1.193650674965423958e-01
-2.808589823448055800e-02,1.193650674965423958e-01
-3.159663551379063295e-02,1.193650674965423958e-01
-3.510737279310069403e-02,1.195991166484964008e-01
-3.861811007241076898e-02,1.193650674965423958e-01
-4.212884735172084394e-02,1.193650674965423958e-01
-4.563958463103090502e-02,1.193650674965423958e-01
-4.915032191034097997e-02,1.193650674965423958e-01
-5.266105918965105492e-02,1.193650674965423958e-01
-5.617179646896112988e-02,1.195991166484964008e-01
-5.968253374827119095e-02,1.193650674965423958e-01
-6.319327102758126591e-02,1.195991166484964008e-01
-6.670400830689134086e-02,1.195991166484964008e-01
-7.021474558620140194e-02,1.198331658004504058e-01
-7.372548286551147689e-02,1.200672149524044108e-01
-7.723622014482155185e-02,1.198331658004504058e-01
-8.074695742413161292e-02,1.198331658004504058e-01
-8.425769470344168788e-02,1.193650674965423958e-01
-8.776843198275176283e-02,1.193650674965423958e-01
-9.127916926206182391e-02,1.170245759770023597e-01
-9.455585738941789387e-02,1.149181336094163147e-01
-9.713039806091194883e-02,1.118754946340142498e-01
-9.713039806091194883e-02,1.083647573547041748e-01
-9.806659466872796882e-02,1.048540200753940999e-01
-9.853469297263597881e-02,1.013432827960840388e-01
-1.004070861882680049e-01,9.783254551677397770e-02
-9.853469297263597881e-02,9.432180823746388887e-02
-9.502395569332590386e-02,9.315156247769387776e-02
-9.151321841401582891e-02,9.291751332573985889e-02
-8.800248113470576783e-02,9.291751332573985889e-02
-8.449174385539569287e-02,9.268346417378586777e-02
-8.098100657608561792e-02,9.268346417378586777e-02
-7.747026929677555684e-02,9.244941502183186277e-02
-7.395953201746548189e-02,9.244941502183186277e-02
-7.044879473815540694e-02,9.221536586987785777e-02
-6.693805745884534586e-02,9.221536586987785777e-02
-6.342732017953527091e-02,9.198131671792385278e-02
-5.991658290022519595e-02,9.198131671792385278e-02
-5.640584562091513487e-02,9.174726756596984778e-02
-5.289510834160505992e-02,9.174726756596984778e-02
-4.938437106229498497e-02,9.174726756596984778e-02
-4.587363378298492389e-02,9.174726756596984778e-02
-4.236289650367484894e-02,9.151321841401584278e-02
-3.885215922436477398e-02,9.151321841401584278e-02
-3.534142194505471291e-02,9.151321841401584278e-02
-3.183068466574463795e-02,9.151321841401584278e-02
-2.831994738643456300e-02,9.127916926206183779e-02
-2.480921010712450192e-02,9.127916926206183779e-02
-2.129847282781441309e-02,9.127916926206183779e-02
-1.778773554850435201e-02,9.127916926206183779e-02
-1.427699826919429094e-02,9.127916926206183779e-02
-1.076626098988421598e-02,9.127916926206183779e-02
-7.255523710574141028e-03,9.104512011010783279e-02
-3.744786431264066073e-03,9.104512011010783279e-02
-1.404294911724029982e-03,8.870462859056778282e-02
-1.404294911724029982e-03,8.519389131125770787e-02
-1.404294911724029982e-03,8.168315403194764679e-02
-1.404294911724029982e-03,7.817241675263757184e-02
-1.404294911724029982e-03,7.466167947332749688e-02
-1.404294911724029982e-03,7.115094219401743580e-02
-2.340491519540049969e-03,6.764020491470736085e-02
-5.851228798850111046e-03,6.670400830689134086e-02
-9.361966078160186000e-03,6.646995915493733587e-02
-1.287270335747026095e-02,6.646995915493733587e-02
-1.638344063678032203e-02,6.646995915493733587e-02
-1.989417791609039698e-02,6.646995915493733587e-02
-2.340491519540047194e-02,6.646995915493733587e-02
-2.691565247471053302e-02,6.646995915493733587e-02
-3.042638975402060797e-02,6.646995915493733587e-02
-3.393712703333068292e-02,6.646995915493733587e-02
-3.744786431264074400e-02,6.646995915493733587e-02
-4.095860159195081895e-02,6.600186085102932587e-02
-4.283099480758285893e-02,6.319327102758126591e-02
-4.329909311149085505e-02,5.968253374827120483e-02
-4.353314226344487392e-02,5.617179646896112988e-02
-4.353314226344487392e-02,5.266105918965105492e-02
-4.142669989585882895e-02,4.915032191034099385e-02
-3.791596261654875399e-02,4.680983039080094388e-02
-3.440522533723869292e-02,4.680983039080094388e-02
-3.089448805792861796e-02,4.680983039080094388e-02
-2.738375077861854301e-02,4.680983039080094388e-02
-2.387301349930848193e-02,4.680983039080094388e-02
-2.036227621999840698e-02,4.657578123884693888e-02
-1.685153894068833202e-02,4.376719141539887892e-02
